date,seoul_water_supply
2017-01-01,3007799
2017-02-01,3029100
2017-03-01,3064747
2017-04-01,3117700
2017-05-01,3189195
2017-06-01,3293463
2017-07-01,3329908
2017-08-01,3270567
2017-09-01,3223462
2017-10-01,3073319
2017-11-01,3113547
2017-12-01,3084511
2018-01-01,3129909
2018-02-01,3183296
2018-03-01,3129789
2018-04-01,3129288
2018-05-01,3161019
2018-06-01,3299908
2018-07-01,3417101
2018-08-01,3430949
2018-09-01,3245209
2018-10-01,3181658
2018-11-01,3173239
2018-12-01,3139779
2019-01-01,3131926
2019-02-01,3185347
2019-03-01,3132162
2019-04-01,3132651
2019-05-01,3164416
2019-06-01,3304460
2019-07-01,3421425
2019-08-01,3431487
2019-09-01,3244997
2019-10-01,3184664
2019-11-01,3174634
2019-12-01,3139577
2020-01-01,3015153
2020-02-01,3055726
2020-03-01,3018954
2020-04-01,3047991
2020-05-01,3135682
2020-06-01,3320003
2020-07-01,3258804
2020-08-01,3244148
2020-09-01,3162003
2020-10-01,3114965
2020-11-01,3059224
2020-12-01,2959960
2021-01-01,3322616
2021-02-01,3208704
2021-03-01,3231347
2021-04-01,3263708
2021-05-01,3265422
2021-06-01,3397484
2021-07-01,3491067
2021-08-01,3399201
2021-09-01,3300085
2021-10-01,3254104
2021-11-01,3251766
2021-12-01,3212158
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,
2024-03-01,
2024-04-01,
2024-05-01,
2024-06-01,
2024-07-01,
2024-08-01,
2024-09-01,
2024-10-01,
2024-11-01,
2024-12-01,
2025-01-01,
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
2026-02-01,
2026-03-01,
2026-04-01,
2026-05-01,
2026-06-01,
2026-07-01,
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
2027-01-01,
2027-02-01,
2027-03-01,
2027-04-01,
2027-05-01,
2027-06-01,
2027-07-01,
2027-08-01,
2027-09-01,
2027-10-01,
2027-11-01,
2027-12-01,
2028-01-01,
2028-02-01,
2028-03-01,
2028-04-01,
2028-05-01,
2028-06-01,
2028-07-01,
2028-08-01,
2028-09-01,
2028-10-01,
2028-11-01,
2028-12-01,
2029-01-01,
2029-02-01,
2029-03-01,
2029-04-01,
2029-05-01,
2029-06-01,
2029-07-01,
2029-08-01,
2029-09-01,
2029-10-01,
2029-11-01,
2029-12-01,
2030-01-01,
2030-02-01,
2030-03-01,
2030-04-01,
2030-05-01,
2030-06-01,
2030-07-01,
2030-08-01,
2030-09-01,
2030-10-01,
2030-11-01,
2030-12-01,
